Won,px,py,ex,ey,pgun,egun,sgun,parmor,earmor,pagent,eagent,atkLoadout,defLoadout,atkNumGuns,defNumGuns,atkAlive,defAlive,roundTime,isPlanted,sitePlanted,spikeBPS,atkWonLast,defWonLast,roundNumber,roundHalf,playerId,enemyId,roundId,matchId,seriesId,datesSTR,MapName,MapInt,isATK
0,413.22842,480.52603,614.9385,459.18372,450.0,500.0,500,0,0,Phoenix,Astra,4200.0,3850.0,0,0,5.0,5.0,4.9,0,N,-1,0,0,1,1,369,1012,527466,33823,16111,2021-08-01,Ascent,2,1
0,408.84497,499.20953,611.9922,450.20126,0.0,500.0,500,1,0,Sova,Astra,4200.0,3850.0,0,0,4.0,5.0,6.0,0,N,-1,0,0,1,1,1217,1012,527466,33823,16111,2021-08-01,Ascent,2,1
0,293.5821,363.3948,254.9216,225.568,800.0,500.0,500,0,0,Sage,Cypher,4200.0,3850.0,0,0,3.0,5.0,10.5,0,N,-1,0,0,1,1,588,1232,527466,33823,16111,2021-08-01,Ascent,2,1
1,236.30997,412.83426,304.0736,374.53305,0.0,450.0,0,1,0,Omen,Sova,4200.0,3850.0,0,0,2.0,5.0,17.9,0,N,-1,0,0,1,1,2917,3875,527466,33823,16111,2021-08-01,Ascent,2,1
0,323.40387,419.51718,255.8558,207.81866,0.0,500.0,500,1,0,Omen,Cypher,4200.0,3850.0,0,0,2.0,4.0,31.1,0,N,-1,0,0,1,1,2917,1232,527466,33823,16111,2021-08-01,Ascent,2,1
1,438.23557,885.1677,636.35266,775.8692,500.0,0.0,500,0,1,Skye,Sage,4200.0,3850.0,0,0,1.0,4.0,38.5,0,N,-1,0,0,1,1,370,1431,527466,33823,16111,2021-08-01,Ascent,2,1
0,422.64203,885.52704,643.5386,745.32886,500.0,500.0,500,0,0,Skye,Astra,4200.0,3850.0,0,0,1.0,3.0,39.9,0,N,-1,0,0,1,1,370,1012,527466,33823,16111,2021-08-01,Ascent,2,1
0,270.87445,356.49628,284.09662,177.92505,0.0,800.0,800,0,2,Sage,Cypher,3450.0,14700.0,0,0,5.0,5.0,8.1,0,N,-1,0,1,2,2,588,1232,527467,33823,16111,2021-08-01,Ascent,2,1
0,298.0374,379.6351,309.8224,152.63046,0.0,1550.0,1550,0,1,Phoenix,Sova,3450.0,14700.0,0,0,4.0,5.0,20.2,0,N,-1,0,1,2,2,369,3875,527467,33823,16111,2021-08-01,Ascent,2,1
1,566.2176,440.1409,530.14404,555.47565,800.0,1600.0,800,0,2,Skye,Skye,3450.0,14700.0,0,0,3.0,5.0,20.7,0,N,-1,0,1,2,2,370,2479,527467,33823,16111,2021-08-01,Ascent,2,1
