Won,px,py,ex,ey,pgun,egun,sgun,parmor,earmor,pagent,eagent,atkLoadout,defLoadout,atkNumGuns,defNumGuns,atkAlive,defAlive,roundTime,isPlanted,sitePlanted,spikeBPS,atkWonLast,defWonLast,roundNumber,roundHalf,playerId,enemyId,roundId,matchId,seriesId,datesSTR,MapName,MapInt,isATK
1,406.68918,339.96857,460.4402,269.97726,500.0,0.0,500,1,1,Reyna,Raze,3500.0,3700.0,0,0,5.0,5.0,29.2,0,N,-1,0,0,1,1,3582,3599,642183,41347,19404,2021-10-30,Ascent,2,0
1,651.94617,349.09473,690.2474,343.70526,500.0,0.0,500,0,1,Jett,Astra,3500.0,3700.0,0,0,4.0,5.0,44.8,0,N,-1,0,0,1,1,1710,4639,642183,41347,19404,2021-10-30,Ascent,2,0
0,652.23364,352.041,695.8524,344.352,500.0,0.0,0,0,1,Jett,Sage,3500.0,3700.0,0,0,3.0,5.0,46.4,0,N,-1,0,0,1,1,1710,13591,642183,41347,19404,2021-10-30,Ascent,2,0
0,687.876,363.46667,624.8551,438.56,0.0,0.0,0,0,0,Sova,Sova,3500.0,3700.0,0,0,3.0,4.0,74.9,1,A,1,0,0,1,1,3346,1961,642183,41347,19404,2021-10-30,Ascent,2,0
1,720.85956,418.00815,742.9205,374.38934,500.0,0.0,500,0,1,Astra,Sage,3500.0,3700.0,0,0,3.0,3.0,76.1,1,A,1,0,0,1,1,494,13591,642183,41347,19404,2021-10-30,Ascent,2,0
0,682.98956,342.7711,632.0411,434.8233,500.0,0.0,0,1,0,Reyna,Sova,3500.0,3700.0,0,0,2.0,3.0,80.2,1,A,1,0,0,1,1,3582,1961,642183,41347,19404,2021-10-30,Ascent,2,0
1,798.6836,304.03873,870.18396,279.10342,500.0,0.0,500,0,1,Astra,Killjoy,3500.0,3700.0,0,0,2.0,2.0,82.6,1,A,2,0,0,1,1,494,2213,642183,41347,19404,2021-10-30,Ascent,2,0
1,797.3901,327.465,730.20135,389.408,500.0,0.0,500,0,0,Astra,Sova,3500.0,3700.0,0,0,1.0,2.0,90.7,1,A,2,0,0,1,1,494,1961,642183,41347,19404,2021-10-30,Ascent,2,0
1,626.2204,472.83707,558.02563,460.4772,1600.0,1600.0,1600,2,1,Astra,Astra,11800.0,15950.0,0,0,5.0,5.0,61.3,0,N,-1,0,1,2,2,494,4639,642184,41347,19404,2021-10-30,Ascent,2,0
0,625.7174,475.92703,552.42053,460.90836,1600.0,1600.0,1600,2,1,Astra,Sage,11800.0,15950.0,0,0,4.0,5.0,62.4,0,N,-1,0,1,2,2,494,13591,642184,41347,19404,2021-10-30,Ascent,2,0
1,860.7703,230.3826,786.03625,344.20828,1600.0,1600.0,1600,2,1,Jett,Sage,11800.0,15950.0,0,0,4.0,4.0,86.1,0,N,-1,0,1,2,2,1710,13591,642184,41347,19404,2021-10-30,Ascent,2,0
0,850.6381,225.78358,822.90027,284.49292,1600.0,1600.0,1600,2,1,Jett,Raze,11800.0,15950.0,0,0,3.0,4.0,87.4,0,N,-1,0,1,2,2,1710,3599,642184,41347,19404,2021-10-30,Ascent,2,0
1,865.5849,285.78638,844.02704,281.76224,1600.0,1600.0,1600,2,1,Reyna,Raze,11800.0,15950.0,0,0,3.0,3.0,108.1,1,A,1,0,1,2,2,3582,3599,642184,41347,19404,2021-10-30,Ascent,2,0
1,835.5476,291.03214,840.3622,224.77754,1600.0,1550.0,1600,2,1,Reyna,Sova,11800.0,15950.0,0,0,2.0,3.0,109.9,1,A,1,0,1,2,2,3582,1961,642184,41347,19404,2021-10-30,Ascent,2,0
0,815.2113,228.2268,680.69006,249.49725,1600.0,1600.0,1600,2,1,Killjoy,Killjoy,11800.0,15950.0,0,0,1.0,3.0,111.8,1,A,1,0,1,2,2,3062,2213,642184,41347,19404,2021-10-30,Ascent,2,0
1,860.91406,322.57852,826.134,226.43031,1600.0,1600.0,1600,2,1,Reyna,Killjoy,11800.0,15950.0,0,0,1.0,2.0,119.0,1,A,1,0,1,2,2,3582,2213,642184,41347,19404,2021-10-30,Ascent,2,0
0,721.43445,417.3614,747.8788,364.76013,1600.0,1600.0,1600,2,1,Sova,Astra,13900.0,15650.0,0,0,5.0,5.0,48.4,1,A,1,0,1,3,3,3346,4639,642185,41347,19404,2021-10-30,Ascent,2,0
0,731.9978,398.53418,755.63965,420.23578,1600.0,1600.0,1600,2,1,Astra,Sage,13900.0,15650.0,0,0,5.0,4.0,48.9,1,A,2,0,1,3,3,494,13591,642185,41347,19404,2021-10-30,Ascent,2,0
1,716.1168,372.23355,755.99896,419.8765,1600.0,1600.0,1600,2,1,Killjoy,Sage,13900.0,15650.0,0,0,5.0,3.0,49.0,1,A,2,0,1,3,3,3062,13591,642185,41347,19404,2021-10-30,Ascent,2,0
0,728.4767,397.2407,749.81903,399.46835,1600.0,1600.0,1600,2,1,Killjoy,Astra,13900.0,15650.0,0,0,4.0,3.0,50.4,1,A,2,0,1,3,3,3062,4639,642185,41347,19404,2021-10-30,Ascent,2,0
0,831.1641,224.63382,793.6534,306.69754,1600.0,1600.0,1600,2,2,Reyna,Sova,13900.0,15650.0,0,0,4.0,2.0,50.7,1,A,2,0,1,3,3,3582,1961,642185,41347,19404,2021-10-30,Ascent,2,0
1,808.88763,245.83243,792.5755,306.48196,1600.0,1600.0,1600,2,2,Jett,Sova,13900.0,15650.0,0,0,4.0,1.0,51.4,1,A,2,0,1,3,3,1710,1961,642185,41347,19404,2021-10-30,Ascent,2,0
0,859.69244,259.9169,686.36694,234.47859,1600.0,1600.0,1600,2,1,Jett,Astra,13900.0,15650.0,0,0,3.0,1.0,56.0,1,A,2,0,1,3,3,1710,4639,642185,41347,19404,2021-10-30,Ascent,2,0
0,305.94196,382.86877,179.82828,427.63733,500.0,2900.0,2900,0,2,Killjoy,Raze,18550.0,9100.0,2,2,5.0,5.0,7.6,0,N,-1,1,0,4,4,3062,3599,642186,41347,19404,2021-10-30,Ascent,2,0
0,823.7626,430.94287,790.20416,505.96436,800.0,2900.0,2900,0,2,Jett,Raze,18550.0,9100.0,2,2,5.0,4.0,46.2,0,N,-1,1,0,4,4,1710,3599,642186,41347,19404,2021-10-30,Ascent,2,0
0,821.6068,224.63382,741.77075,426.84686,2901.0,1600.0,1600,2,1,Reyna,Astra,18550.0,9100.0,2,2,5.0,3.0,67.1,1,A,1,1,0,4,4,3582,4639,642186,41347,19404,2021-10-30,Ascent,2,0
1,802.4203,232.6821,807.666,492.311,950.0,1600.0,950,0,2,Astra,Sage,18550.0,9100.0,2,2,5.0,2.0,96.0,1,A,4,1,0,4,4,494,13591,642186,41347,19404,2021-10-30,Ascent,2,0
1,48.10954,307.77545,152.80905,296.49347,2900.0,2250.0,2900,1,2,Killjoy,Killjoy,21800.0,16950.0,4,4,3.0,5.0,29.3,0,N,-1,1,0,5,5,3062,2213,642187,41347,19404,2021-10-30,Ascent,2,0
1,48.10954,307.77545,128.95164,295.84674,2900.0,2900.0,2900,1,2,Killjoy,Sova,21800.0,16950.0,4,4,2.0,5.0,29.4,0,N,-1,1,0,5,5,3062,1961,642187,41347,19404,2021-10-30,Ascent,2,0
1,47.53467,302.88898,185.14589,293.90652,2900.0,2900.0,2900,1,2,Killjoy,Sage,21800.0,16950.0,4,4,1.0,5.0,30.3,0,N,-1,1,0,5,5,3062,13591,642187,41347,19404,2021-10-30,Ascent,2,0
1,470.788,119.71873,623.20233,178.35622,2901.0,2901.0,2901,2,2,Jett,Killjoy,20500.0,23000.0,5,5,5.0,5.0,93.4,1,B,1,0,1,6,6,1710,2213,642188,41347,19404,2021-10-30,Ascent,2,0
0,322.6134,247.84448,351.21353,250.57516,2900.0,2900.0,2900,2,1,Reyna,Astra,20500.0,23000.0,5,5,4.0,5.0,99.9,1,B,1,0,1,6,6,3582,4639,642188,41347,19404,2021-10-30,Ascent,2,0
0,268.57495,228.37053,318.5174,440.7158,2900.0,2900.0,2900,2,2,Killjoy,Raze,20500.0,23000.0,5,5,4.0,4.0,100.8,1,B,1,0,1,6,6,3062,3599,642188,41347,19404,2021-10-30,Ascent,2,0
1,310.25354,244.2515,350.35123,253.09024,2901.0,2900.0,2901,2,1,Jett,Astra,20500.0,23000.0,5,5,4.0,3.0,101.0,1,B,1,0,1,6,6,1710,4639,642188,41347,19404,2021-10-30,Ascent,2,0
0,310.25354,244.03592,242.6336,361.4546,2901.0,2900.0,2900,2,1,Jett,Sova,20500.0,23000.0,5,5,3.0,3.0,101.1,1,B,1,0,1,6,6,1710,1961,642188,41347,19404,2021-10-30,Ascent,2,0
0,273.4614,244.39523,325.20035,439.06302,2900.0,2900.0,2900,2,2,Sova,Raze,20500.0,23000.0,5,5,3.0,2.0,101.9,1,B,1,0,1,6,6,3346,3599,642188,41347,19404,2021-10-30,Ascent,2,0
1,355.0221,281.76224,251.83163,362.10132,2901.0,2900.0,2901,2,1,Astra,Sova,20500.0,23000.0,5,5,3.0,1.0,102.5,1,B,1,0,1,6,6,494,1961,642188,41347,19404,2021-10-30,Ascent,2,0
0,355.0221,281.76224,223.44708,380.06625,2901.0,2901.0,2901,2,2,Astra,Sage,20500.0,23000.0,5,5,2.0,1.0,102.6,1,B,1,0,1,6,6,494,13591,642188,41347,19404,2021-10-30,Ascent,2,0
1,851.716,410.96588,782.2277,503.1618,2901.0,2900.0,2901,1,2,Astra,Raze,21150.0,21300.0,4,4,5.0,5.0,29.7,0,N,-1,1,0,7,7,494,3599,642189,41347,19404,2021-10-30,Ascent,2,0
0,631.538,477.29236,553.5703,462.633,2901.0,2901.0,2901,1,2,Astra,Sage,21150.0,21300.0,4,4,5.0,5.0,61.5,0,N,-1,1,0,7,7,494,13591,642189,41347,19404,2021-10-30,Ascent,2,0
1,663.58746,403.13318,594.0992,465.00436,2901.0,2901.0,2901,1,2,Reyna,Sage,21150.0,21300.0,4,4,5.0,4.0,63.6,0,N,-1,1,0,7,7,3582,13591,642189,41347,19404,2021-10-30,Ascent,2,0
1,500.46606,282.12155,427.09732,541.3193,4700.0,2901.0,4700,2,2,Jett,Killjoy,21150.0,21300.0,4,4,4.0,4.0,64.4,0,N,-1,1,0,7,7,1710,2213,642189,41347,19404,2021-10-30,Ascent,2,0
