"Match Id","Series Id","Event Name","Map Name","Team 1 Id","Team 1 Name","Team 2 Id","Team 2 Name","Team 1 Score","Team 2 Score","Win Condition","Date","Team 1 Player Ids","Team 2 Player Ids","Total Count"
41359,19407,"VCT North America 2021 - Last Chance Qualifier","Bind",281,"Rise",141,"Cloud9 Blue",11,13,"standard","2021-10-31T00:00:00.000Z","[2105,2105,2105,2105,2105,2091,2091,2091,2091,2091,1990,1990,1990,1990,1990,269,269,269,269,269,1994,1994,1994,1994,1994]","[1961,3599,13591,4639,2213,1961,3599,13591,4639,2213,1961,3599,13591,4639,2213,1961,3599,13591,4639,2213,1961,3599,13591,4639,2213]",655
41358,19407,"VCT North America 2021 - Last Chance Qualifier","Split",281,"Rise",141,"Cloud9 Blue",0,13,"standard","2021-10-31T00:00:00.000Z","[269,269,269,269,269,2091,2091,2091,2091,2091,2105,2105,2105,2105,2105,1994,1994,1994,1994,1994,1990,1990,1990,1990,1990]","[1961,3599,2213,13591,4639,1961,3599,2213,13591,4639,1961,3599,2213,13591,4639,1961,3599,2213,13591,4639,1961,3599,2213,13591,4639]",655
41357,19407,"VCT North America 2021 - Last Chance Qualifier","Breeze",281,"Rise",141,"Cloud9 Blue",8,13,"standard","2021-10-31T00:00:00.000Z","[269,1990,1990,1990,1990,1990,2091,2091,2091,2091,2091,2105,2105,2105,2105,2105,1994,1994,1994,1994,1994,269,269,269,269]","[1961,3599,4639,13591,2213,1961,3599,4639,13591,2213,1961,3599,4639,13591,2213,1961,3599,4639,13591,2213,1961,3599,4639,13591,2213]",655
41364,19408,"VCT North America 2021 - Last Chance Qualifier","Breeze",305,"100 Thieves",141,"Cloud9 Blue",5,13,"standard","2021-10-31T00:00:00.000Z","[3187,355,355,355,355,763,763,763,763,763,10253,10253,355,10253,10253,10253,1132,1132,1132,1132,1132,3187,3187,3187,3187]","[13591,2213,4639,3599,13591,1961,2213,4639,3599,13591,1961,2213,1961,4639,3599,13591,1961,2213,4639,3599,13591,1961,2213,4639,3599]",655
41363,19408,"VCT North America 2021 - Last Chance Qualifier","Haven",305,"100 Thieves",141,"Cloud9 Blue",9,13,"standard","2021-10-31T00:00:00.000Z","[355,355,355,1132,1132,1132,1132,1132,763,763,763,763,763,3187,3187,3187,3187,3187,10253,10253,10253,10253,10253,355,355]","[4639,2213,13591,1961,3599,4639,2213,13591,1961,3599,4639,2213,13591,1961,3599,4639,2213,13591,1961,3599,4639,2213,13591,3599,1961]",655
41362,19408,"VCT North America 2021 - Last Chance Qualifier","Icebox",305,"100 Thieves",141,"Cloud9 Blue",14,12,"standard","2021-10-30T00:00:00.000Z","[1132,3187,3187,3187,3187,3187,355,355,355,355,355,1132,1132,1132,1132,763,763,763,763,763,10253,10253,10253,10253,10253]","[3599,1961,13591,3599,2213,4639,1961,13591,3599,2213,4639,1961,13591,2213,4639,1961,13591,3599,2213,4639,1961,13591,3599,2213,4639]",655
41347,19404,"VCT North America 2021 - Last Chance Qualifier","Ascent",141,"Cloud9 Blue",603,"XSET",14,12,"standard","2021-10-30T00:00:00.000Z","[4639,1961,1961,1961,1961,1961,13591,13591,13591,13591,13591,2213,2213,2213,2213,2213,3599,3599,3599,3599,3599,4639,4639,4639,4639]","[1710,494,1710,3582,3062,3346,494,1710,3582,3062,3346,494,1710,3582,3062,3346,494,1710,3582,3062,3346,494,3582,3062,3346]",655
41346,19404,"VCT North America 2021 - Last Chance Qualifier","Bind",141,"Cloud9 Blue",603,"XSET",13,7,"standard","2021-10-30T00:00:00.000Z","[1961,1961,1961,1961,13591,13591,13591,13591,13591,3599,3599,3599,3599,3599,2213,2213,2213,2213,2213,4639,4639,1961,4639,4639,4639]","[1710,3062,3346,3582,494,1710,3062,3346,3582,494,1710,3062,3346,3582,494,1710,3062,3346,3582,494,1710,494,3062,3346,3582]",655
39944,18674,"VCT North America 2021 - Last Chance Qualifier","Haven",305,"100 Thieves",281,"Rise",11,13,"standard","2021-10-30T00:00:00.000Z","[763,355,355,355,355,355,1132,1132,1132,1132,1132,763,763,763,763,10253,10253,10253,10253,10253,3187,3187,3187,3187,3187]","[2091,1990,1994,2091,2105,269,1990,1994,2091,2105,269,1990,1994,2105,269,1990,1994,2091,2105,269,1990,1994,2091,2105,269]",655
39943,18674,"VCT North America 2021 - Last Chance Qualifier","Ascent",305,"100 Thieves",281,"Rise",13,10,"standard","2021-10-30T00:00:00.000Z","[1132,1132,1132,1132,1132,3187,3187,3187,3187,3187,10253,10253,10253,10253,10253,763,763,763,763,763,355,355,355,355,355]","[269,2105,2091,1994,1990,269,2105,2091,1994,1990,269,2105,2091,1994,1990,269,2105,2091,1994,1990,269,2105,2091,1994,1990]",655
39942,18674,"VCT North America 2021 - Last Chance Qualifier","Breeze",305,"100 Thieves",281,"Rise",11,13,"standard","2021-10-30T00:00:00.000Z","[10253,355,355,355,355,355,1132,1132,1132,1132,1132,10253,10253,10253,10253,3187,3187,3187,3187,3187,763,763,763,763,763]","[2091,1990,2105,1994,2091,269,1990,2105,1994,2091,269,1990,2105,1994,269,1990,2105,1994,2091,269,1990,2105,1994,2091,269]",655
41263,19375,"VCT North America 2021 - Last Chance Qualifier","Icebox",603,"XSET",1931,"Version1",13,4,"standard","2021-10-30T00:00:00.000Z","[494,494,494,494,494,1710,1710,1710,1710,1710,3062,3062,3062,3062,3062,3582,3582,3582,3582,3582,3346,3346,3346,3346,3346]","[440,3056,1848,3352,7025,440,3056,1848,3352,7025,440,3056,1848,3352,7025,440,3056,1848,3352,7025,440,3056,1848,3352,7025]",655
41262,19375,"VCT North America 2021 - Last Chance Qualifier","Bind",603,"XSET",1931,"Version1",13,7,"standard","2021-10-29T00:00:00.000Z","[1710,1710,1710,1710,1710,494,494,494,494,494,3582,3582,3582,3582,3582,3062,3062,3062,3062,3062,3346,3346,3346,3346,3346]","[3352,7025,3056,1848,440,3352,7025,3056,1848,440,3352,7025,3056,1848,440,3352,7025,3056,1848,440,3352,7025,3056,1848,440]",655
41261,19374,"VCT North America 2021 - Last Chance Qualifier","Breeze",141,"Cloud9 Blue",318,"Gen.G Esports",13,10,"standard","2021-10-29T00:00:00.000Z","[1961,1961,1961,1961,1961,3599,3599,3599,3599,3599,2213,2213,2213,2213,2213,4639,4639,4639,4639,4639,13591,13591,13591,13591,13591]","[1356,74,3146,2098,5520,1356,74,3146,2098,5520,1356,74,3146,2098,5520,1356,74,3146,2098,5520,1356,74,3146,2098,5520]",655
