roundNumber,playerId,armorId,loadoutValue,weapon,agent,score,isTeam1,isTeam2,roundId,MatchID,T1onATK,T2onATK,T1onDEF,T2onDEF,T1name,T2name,ATKname,DEFname,PisATK,PisDEF,ATKisFullbuy,ATKisEco,DEFisFullbuy,DEFisEco,Date
1,269,0,800,Ghost,Sova,332,True,False,645192,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,0,1,0,0,0,0,2021-10-31
1,3599,1,900,Classic,Skye,230,False,True,645192,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,1,0,0,0,0,0,2021-10-31
1,2213,1,800,Classic,Viper,90,False,True,645192,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,1,0,0,0,0,0,2021-10-31
1,2091,0,750,Frenzy,Raze,104,True,False,645192,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,0,1,0,0,0,0,2021-10-31
1,1990,0,600,Frenzy,Astra,353,True,False,645192,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,0,1,0,0,0,0,2021-10-31
1,2105,0,800,Frenzy,Jett,358,True,False,645192,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,0,1,0,0,0,0,2021-10-31
1,1994,1,800,Classic,Viper,78,True,False,645192,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,0,1,0,0,0,0,2021-10-31
1,4639,0,150,Classic,Astra,471,False,True,645192,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,1,0,0,0,0,0,2021-10-31
1,13591,1,700,Classic,Raze,26,False,True,645192,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,1,0,0,0,0,0,2021-10-31
1,1961,0,700,Classic,Sova,78,False,True,645192,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,1,0,0,0,0,0,2021-10-31
2,269,2,3750,Ares,Sova,681,True,False,645193,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,0,1,0,0,0,0,2021-10-31
2,3599,1,2750,Spectre,Skye,280,False,True,645193,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,1,0,0,0,0,0,2021-10-31
2,2213,1,2200,Spectre,Viper,234,False,True,645193,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,1,0,0,0,0,0,2021-10-31
2,2091,2,2900,Spectre,Raze,52,True,False,645193,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,0,1,0,0,0,0,2021-10-31
2,1990,2,2600,Spectre,Astra,262,True,False,645193,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,0,1,0,0,0,0,2021-10-31
2,2105,1,3750,Phantom,Jett,105,True,False,645193,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,0,1,0,0,0,0,2021-10-31
2,1994,2,3200,Spectre,Viper,44,True,False,645193,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,0,1,0,0,0,0,2021-10-31
2,4639,1,1150,Frenzy,Astra,377,False,True,645193,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,1,0,0,0,0,0,2021-10-31
2,13591,2,3300,Spectre,Raze,432,False,True,645193,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,1,0,0,0,0,0,2021-10-31
2,1961,1,1900,Sheriff,Sova,0,False,True,645193,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,1,0,0,0,0,0,2021-10-31
3,269,0,800,Sheriff,Sova,46,True,False,645194,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,0,1,0,0,0,1,2021-10-31
3,3599,2,3500,Ares,Skye,535,False,True,645194,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,1,0,0,0,0,1,2021-10-31
3,2213,2,3650,Bulldog,Viper,86,False,True,645194,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,1,0,0,0,0,1,2021-10-31
3,2091,0,0,Classic,Raze,52,True,False,645194,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,0,1,0,0,0,1,2021-10-31
3,1990,0,150,Classic,Astra,268,True,False,645194,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,0,1,0,0,0,1,2021-10-31
3,2105,0,500,Shorty,Jett,0,True,False,645194,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,0,1,0,0,0,1,2021-10-31
3,1994,0,400,Classic,Viper,0,True,False,645194,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,0,1,0,0,0,1,2021-10-31
3,4639,1,1150,Frenzy,Astra,0,False,True,645194,41359,0,1,1,0,Rise,Cloud9 Blue,Cloud9 Blue,Rise,1,0,0,0,0,1,2021-10-31
