"Player Id","Ign","Team"
13869,"태 훈","Cosmos"
16072,"태 훈 #죄","Team Vision"
4207,"헬 레이저 인민의 군주",""
13791,"삥빵 뽕",""
7471,"제트 고","Team Vice"
9983,"제트 사용자","WOLFPACK"
18834,"칸나 카무이","FUG"
9714,"ひよこ","Cerberus E-Sports (BR)"
13049,"バーン","Manager Team"
13871,"レイズ","STZA"
18841,"겸손한",""
12063,"린지훈","Saber"
9806,"순풍맨",""
15776,"아이유","WHAAN WHAAN Esport"
8363,"ｈｚｎ","TROPA DO PHOTOSHOP"
6906,"มงคล","Genesis.VLR"
15584,"だびたそ","INREGS"
15565,"またきち","Geko Geko"
15644,"りーさん","NeoAimer"
3706,"タイノコ","EGYX"
2869,"プライム","Space Cheaters"
15373,"골플다는","Tail Nine Esports"
13998,"박사아들","sadHours"
18835,"형준이형","이사가자"
16234,"사무엘은 잘 생겼다","Hi Shin"
15551,"そうちゃん","Atsumatte Mita"
18385,"ふらじろう","ほんとにぃ↑"
3059,"맥아더제리","No Mercy"
12869,"토굴나는씨",""
15566,"ヨキジェット","Geko Geko"
6065,"レジリエンス","R6 Players"
6780,"ＥＳＴＨＥＲ",""
527,"หมวงฟาง","Aricat.Aresta"
265,"くりあくりーん","NEXUS"
1885,"커여운애긔븝미짱","Team Rover"
282,"ちょーんぼらけっけ","Soabh"
8205,"002","Enigma (BR)"
7523,"007kof","Los buhos"
15754,"0327","Spectral Esports Purple"
3390,"04","kekW"
11850,"05C47",""
8682,"0 adr","16const"
16391,"0iqKid","Try to Hard"
5961,"0lleb4r","Bertzz+4"
17163,"0n1y","Griffin E-Sports"
522,"0ng0wa","Rainbow7"
473,"0nly",""
2410,"0nuqtive","zazemlenie"
15674,"0PZ","ORB GARDEN GAMING"
15675,"0PZ",""
11807,"0wenM","SLAMMING GEARS"
5148,"0zk4r","Hard Light Esports"
3071,"10002","4Q"
12303,"101Y0U","Humanity Esport"
8958,"10bit","Gorilla Gang"
1400,"10K","New World"
13731,"10UREXEC","COMEBACK E-SPORTS"
2908,"10X",""
13103,"10zo",""
9167,"1111111111z","RampRAGE"
14778,"11wea11","5th Dimension"
5825,"12 mola diferent","Pérolas"
3819,"12pk","HEAD HUNTERS"
16229,"12 yrs old",""
11889,"1337","raute 1"
6785,"13E",""
12786,"13th monkey","Hide In Smoke"
9488,"15 Sabie","PointAndClick"
15778,"1615144","WHAAN WHAAN Esport"
5695,"17","Unkind"
13073,"177","trying to win"
7818,"17nik","Coalition"
3756,"17 Savage","Meloner"
16057,"1907","Cynical"
18233,"1brenni","vavalindas"
8810,"1DEES","Chamomile Esports Camp"
13328,"1DNVR",""
18174,"1emonade","24/7"
9958,"1ex","Dewa United E-Sports"
2435,"1ge(Copy)","BV ESPORTS"
14425,"1KAPUMBA","New Order"
5638,"1kd bot","AnimeSquad"
18288,"1KingB","DRMZ Esports"
18287,"1KSeven","DRMZ Esports"
4613,"1kuzohh","Revense E-sports"
14920,"1kvmilhvh","GREECE"
6655,"1mbrokeN","EMPEROR"
8932,"1mitator","Party carrots"
10793,"1NCORNAT1ON",""
1902,"1ndra","deathwish"
17258,"1NSANE","Crash Landin on You"
4479,"1rc","Cursed Ascension"
463,"1rosha","Poison"
5193,"1saakix","le panes"
5336,"1Samael","CosVer Gaming"
17453,"1SickButton","F5"
5232,"1stDiablo","Atomic México"
8680,"1Steufmehl","FieryWall Gaming"
5236,"1stFurious","Atomic México"
11738,"1Tap","ATREUS"
14382,"1TaPGoD","True Rippers"
16186,"1Texi","Deez Nuts"
10814,"1uke","Hollywood"
